index,mid,display_name,display_name_zh
0,/m/09x0r,Speech,说话
1,/m/0ytgt,"Child speech, kid speaking","儿童说话、小孩说话"
2,/m/01h8n0,Conversation,交谈
3,/m/02qldy,"Narration, monologue","旁白、独白"
4,/m/0261r1,Babbling,婴儿咿呀学语
5,/m/0brhx,Speech synthesizer,语音合成器声音
6,/m/07p6fty,Shout,喊叫
7,/m/07q4ntr,Bellow,吼叫
8,/m/07rwj3x,Whoop,欢呼声
9,/m/07sr1lc,Yell,大喊
10,/t/dd00135,Children shouting,儿童喊叫
11,/m/03qc9zr,Screaming,尖叫
12,/m/02rtxlg,Whispering,耳语
13,/m/01j3sz,Laughter,笑声
14,/t/dd00001,Baby laughter,婴儿笑声
15,/m/07r660_,Giggle,咯咯笑
16,/m/07s04w4,Snicker,窃笑
17,/m/07sq110,Belly laugh,捧腹大笑
18,/m/07rgt08,"Chuckle, chortle","轻笑、偷笑"
19,/m/0463cq4,"Crying, sobbing","哭泣、抽泣"
20,/t/dd00002,"Baby cry, infant cry","婴儿哭声"
21,/m/07qz6j3,Whimper,呜咽
22,/m/07qw_06,"Wail, moan","哀嚎、呻吟"
23,/m/07plz5l,Sigh,叹气
24,/m/015lz1,Singing,唱歌
25,/m/0l14jd,Choir,合唱
26,/m/01swy6,Yodeling,约德尔唱法
27,/m/02bk07,Chant,吟唱
28,/m/01c194,Mantra,咒语吟诵
29,/t/dd00005,Child singing,儿童唱歌
30,/t/dd00006,Synthetic singing,合成人声唱歌
31,/m/06bxc,Rapping,说唱
32,/m/02fxyj,Humming,哼唱
33,/m/07s2xch,Groan,痛苦呻吟
34,/m/07r4k75,Grunt,用力哼声
35,/m/01w250,Whistling,吹口哨
36,/m/0lyf6,Breathing,呼吸声
37,/m/07mzm6,Wheeze,喘息声
38,/m/01d3sd,Snoring,打鼾
39,/m/07s0dtb,Gasp,惊喘
40,/m/07pyy8b,Pant,急促喘气
41,/m/07q0yl5,Snort,哼鼻子
42,/m/01b_21,Cough,咳嗽
43,/m/0dl9sf8,Throat clearing,清嗓子
44,/m/01hsr_,Sneeze,打喷嚏
45,/m/07ppn3j,Sniff,抽鼻子
46,/m/06h7j,Run,跑步声
47,/m/07qv_x_,Shuffle,拖着脚走
48,/m/07pbtc8,"Walk, footsteps","走路、脚步声"
49,/m/03cczk,"Chewing, mastication","咀嚼、嚼东西"
50,/m/07pdhp0,Biting,咬东西
51,/m/0939n_,Gargling,漱口声
52,/m/01g90h,Stomach rumble,肚子咕咕叫
53,/m/03q5_w,"Burping, eructation","打嗝、嗳气"
54,/m/02p3nc,Hiccup,打嗝
55,/m/02_nn,Fart,放屁
56,/m/0k65p,Hands,手部动作声
57,/m/025_jnm,Finger snapping,弹指声
58,/m/0l15bq,Clapping,拍手
59,/m/01jg02,"Heart sounds, heartbeat","心跳声"
60,/m/01jg1z,Heart murmur,心脏杂音
61,/m/053hz1,Cheering,欢呼
62,/m/028ght,Applause,鼓掌
63,/m/07rkbfh,Chatter,叽叽喳喳说话
64,/m/03qtwd,Crowd,人群喧闹
65,/m/07qfr4h,"Hubbub, speech noise, speech babble","嘈杂人声、言语噪声"
66,/t/dd00013,Children playing,儿童玩耍声
67,/m/0jbk,Animal,动物叫声
68,/m/068hy,"Domestic animals, pets","家养动物、宠物"
69,/m/0bt9lr,Dog,狗
70,/m/05tny_,Bark,狗吠
71,/m/07r_k2n,Yip,狗短促叫声
72,/m/07qf0zm,Howl,狼嚎/狗长嚎
73,/m/07rc7d9,Bow-wow,汪汪叫
74,/m/0ghcn6,Growling,低吼
75,/t/dd00136,Whimper (dog),狗呜咽
76,/m/01yrx,Cat,猫
77,/m/02yds9,Purr,猫咕噜声
78,/m/07qrkrw,Meow,喵叫
79,/m/07rjwbb,Hiss,猫嘶嘶声
80,/m/07r81j2,Caterwaul,猫叫春
81,/m/0ch8v,"Livestock, farm animals, working animals","牲畜、农场动物"
82,/m/03k3r,Horse,马
83,/m/07rv9rh,Clip-clop,马蹄哒哒
84,/m/07q5rw0,"Neigh, whinny","马嘶"
85,/m/01xq0k1,"Cattle, bovinae",牛
86,/m/07rpkh9,Moo,牛叫（哞）
87,/m/0239kh,Cowbell,牛铃
88,/m/068zj,Pig,猪
89,/t/dd00018,Oink,猪叫（哼哼）
90,/m/03fwl,Goat,山羊
91,/m/07q0h5t,Bleat,羊叫
92,/m/07bgp,Sheep,羊
93,/m/025rv6n,Fowl,家禽
94,/m/09b5t,"Chicken, rooster","鸡、公鸡"
95,/m/07st89h,Cluck,母鸡咯咯叫
96,/m/07qn5dc,"Crowing, cock-a-doodle-doo","公鸡打鸣"
97,/m/01rd7k,Turkey,火鸡
98,/m/07svc2k,Gobble,火鸡咕咕叫
99,/m/09ddx,Duck,鸭
100,/m/07qdb04,Quack,鸭叫（嘎嘎）
101,/m/0dbvp,Goose,鹅
102,/m/07qwf61,Honk,鹅叫
103,/m/01280g,Wild animals,野生动物
104,/m/0cdnk,"Roaring cats (lions, tigers)","吼叫的猫科（狮、虎）"
105,/m/04cvmfc,Roar,咆哮
106,/m/015p6,Bird,鸟
107,/m/020bb7,"Bird vocalization, bird call, bird song","鸟鸣、鸟叫、鸟歌"
108,/m/07pggtn,"Chirp, tweet","啾啾、唧唧"
109,/m/07sx8x_,Squawk,鸟粗叫
110,/m/0h0rv,"Pigeon, dove","鸽子"
111,/m/07r_25d,Coo,鸽子咕咕叫
112,/m/04s8yn,Crow,乌鸦
113,/m/07r5c2p,Caw,乌鸦叫
114,/m/09d5_,Owl,猫头鹰
115,/m/07r_80w,Hoot,猫头鹰叫
116,/m/05_wcq,"Bird flight, flapping wings","鸟飞、翅膀拍打"
117,/m/01z5f,"Canidae, dogs, wolves","犬科（狗、狼）"
118,/m/06hps,"Rodents, rats, mice","啮齿动物（鼠）"
119,/m/04rmv,Mouse,老鼠
120,/m/07r4gkf,Patter,小动物跑动声
121,/m/03vt0,Insect,昆虫
122,/m/09xqv,Cricket,蟋蟀叫
123,/m/09f96,Mosquito,蚊子嗡嗡
124,/m/0h2mp,"Fly, housefly","苍蝇"
125,/m/07pjwq1,Buzz,嗡嗡声
126,/m/01h3n,"Bee, wasp, etc.","蜜蜂、黄蜂等"
127,/m/09ld4,Frog,青蛙
128,/m/07st88b,Croak,蛙鸣
129,/m/078jl,Snake,蛇
130,/m/07qn4z3,Rattle,响尾蛇响尾
131,/m/032n05,Whale vocalization,鲸鱼叫声
132,/m/04rlf,Music,音乐
133,/m/04szw,Musical instrument,乐器
134,/m/0fx80y,Plucked string instrument,拨弦乐器
135,/m/0342h,Guitar,吉他
136,/m/02sgy,Electric guitar,电吉他
137,/m/018vs,Bass guitar,贝斯吉他
138,/m/042v_gx,Acoustic guitar,木吉他
139,/m/06w87,"Steel guitar, slide guitar","钢吉他、滑音吉他"
140,/m/01glhc,Tapping (guitar technique),点弦技巧
141,/m/07s0s5r,Strum,扫弦
142,/m/018j2,Banjo,班卓琴
143,/m/0jtg0,Sitar,西塔琴
144,/m/04rzd,Mandolin,曼陀林
145,/m/01bns_,Zither,齐特琴
146,/m/07xzm,Ukulele,尤克里里
147,/m/05148p4,Keyboard (musical),键盘乐器
148,/m/05r5c,Piano,钢琴
149,/m/01s0ps,Electric piano,电钢琴
150,/m/013y1f,Organ,风琴
151,/m/03xq_f,Electronic organ,电子琴
152,/m/03gvt,Hammond organ,Hammond风琴
153,/m/0l14qv,Synthesizer,合成器
154,/m/01v1d8,Sampler,采样器
155,/m/03q5t,Harpsichord,羽管键琴
156,/m/0l14md,Percussion,打击乐器
157,/m/02hnl,Drum kit,架子鼓
